symbol,Total Asset,Total Liabilities,Paid-up Cap,Equity,Revenue,Expenses,EBITDA,EBIT,Net Profit,EPS,Operating Cash Flow,Investing Cash Flow,Financing Cash Flow,Net Cash Flow,Return on Equity,Return on Asset,Gross Profit Margin,Net Profit Margin,EBIT Margin,D/E,Int. Coverage,Current Ratio,Quick Ratio,Fixed Asset,Total Asset.1,Inventory Turnover,Average Sale Period,Accounts Receivable Turnover,Average Collection Period,Account Payable Turnover,Average Payment Period,Cash Cycle,result
HEALTH,1425586.6,195799.62,4588523.55,1221790.49,124375.42,184180.2,-11320.19,-59155.16,-45211.02,-0.21,-38455.39,-114911.73,206845.65,53478.54,-7.54,-7.86,53.12,-49.39,-47.56,0.16,-31.23,1.25,1.15,1.59,0.17,3.5,104.36,5.08,71.88,1.54,237.71,-61.46,1
HL,1118302.79,252413.38,136000,865889.41,1216413.61,1113731.17,133616.76,102682.44,79663.98,0.39,85180.99,-14745.18,599723.45,670159.26,16.08,13.54,23.05,6.55,8.44,0.29,19.24,6.14,4.99,6.33,1.6,6.36,57.41,80.13,4.56,8.19,44.59,17.37,0
HPT,354795.98,47248.46,165519.83,306835.13,208246.97,189949.32,35023.88,18297.66,15195.97,0.02,29866.06,-4823.6,48045.86,73088.33,5.53,5.85,23.15,7.32,8.79,0.15,47.1,6.12,4.08,1.42,0.67,2.08,175.18,6.34,57.56,6.84,53.4,179.34,0
HYDRO,459644,337803.36,2304683.04,121537.86,293012.04,297311.44,1180.1,-4299.4,-19984.9,-0.01,-133258.55,42363.66,113623.04,22728.16,-32.07,-0.97,8.85,-6.82,-1.47,2.77,-0.29,1.39,0.92,11.48,0.66,30.98,11.78,2.48,147.15,1.75,208.82,-49.89,1
ICN,1041901.95,369216.79,225000,647983.78,1764234.8,1564603.39,208990.4,199631.41,156974.07,0.35,-74779.03,64921.95,-166484.34,-176341.41,25.7,15.88,16.49,9,11.32,0.55,219.46,3.32,1.49,113.58,1.4,13.63,26.78,8.22,44.38,5.28,69.11,2.05,0
IIG,796996.68,243047.6,50000,553355.08,690030.3,588819.98,104475.13,100864.01,79319.62,0.79,55157.52,-37473.05,-17583.11,101.35,15.24,14.1,27.93,11.5,14.62,0.44,182.27,2.5,1.52,165.12,0.96,,-,6.05,60.35,7.89,46.28,14.07,0
IMH,1180098.63,335702.9,107500,844395.73,952883.78,421326.64,568074.51,531557.14,422698.18,1.97,353740.05,-185285.2,-17997.73,150457.13,66.08,63.61,66.53,44.36,55.78,0.4,60.72,4.56,2.51,4.04,1.14,23.88,15.29,18.7,19.51,7.3,49.99,-15.19,0
IND,671570.2,292584.55,175000,378985.66,473736.51,454564.42,25752.34,19172.09,14257.61,0.04,-22974.94,-53365.16,-4733.32,-81073.43,3.86,2.75,19.92,3.01,4.05,0.77,29.49,2.01,1.03,29.21,0.68,,-,3.03,120.61,1.57,232.45,-111.84,0
IP,1327043.55,543539.98,149005.26,761644.01,920984.78,775213.16,172298.2,145692.99,105215.86,0.36,-41574.52,-351788.55,414915.95,21552.88,17.07,14.03,44.11,12,15.82,0.69,18.19,1.99,1.39,2.67,0.89,3.5,104.19,4.02,90.78,3.73,97.88,97.1,0
IRCP,805004.18,487107.27,206650.84,338621.29,763624.23,731438.12,57823.45,42703.48,18568.83,0.06,123075.19,11391.91,-50524.21,83942.89,7.06,4.86,19.43,2.4,5.59,1.53,2,1.06,0.82,27.12,0.87,11.8,30.93,2.1,174.08,3.27,111.77,93.23,0
